,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,0,6,,0,7.25,,-1.75,5,,,,,,-0.5833333333,6.083333333,-6.083333333
2,-1.75,11.5,,-2,13.75,,-4.25,22.25,,,,,,-2.666666667,15.83333333,-15.83333333
3,-1.5,22.25,,-2,28,,-2.75,35,,,,,,-2.083333333,28.41666667,-28.41666667
4,-1.5,36.75,,-0.75,48.75,,-0.75,50.25,,,,,,-1,45.25,-45.25
5,-1.5,53.75,,0,61.75,,-0.5,69.25,,,,,,-0.6666666667,61.58333333,-61.58333333
6,0.5,72.5,,3.75,82.75,,3.75,94.75,,,,,,2.666666667,83.33333333,-83.33333333
7,2.75,92.75,,9.25,105,,9.25,114.75,,,,,,7.083333333,104.1666667,-104.1666667
8,9.5,118.25,,13.5,129,,14.5,141.5,,,,,,12.5,129.5833333,-129.5833333
9,15.25,149,,22.75,157,,23.25,169.5,,,,,,20.41666667,158.5,-158.5
10,25.5,198,,32.5,183.75,,37.25,203,,,,,,31.75,194.9166667,-194.9166667
11,47.75,226.25,,46.25,214.25,,54.75,232.25,,,,,,49.58333333,224.25,-224.25
12,68.25,262.25,,61.5,247.75,,70.75,262.25,,,,,,66.83333333,257.4166667,-257.4166667
13,91,294.25,,81.25,278.5,,89.25,294,,,,,,87.16666667,288.9166667,-288.9166667
14,,,,98.25,309,,,,,,,,,98.25,309,-309
15,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
16,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
17,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
18,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
19,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
20,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
22,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
23,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
24,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
25,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
