,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,0,0.1,,-0.1,2.6,,-1.8,4.8,,,,,,-0.6333333333,2.5,-2.5
2,-0.1,2.7,,-1.4,6.1,,-2.5,9.6,,,,,,-1.333333333,6.133333333,-6.133333333
3,-0.4,5,,-1.7,12.3,,-2,14.8,,,,,,-1.366666667,10.7,-10.7
4,-1.5,9.4,,-1.5,17.2,,-1.2,22,,,,,,-1.4,16.2,-16.2
5,-0.9,14.8,,-0.8,24.6,,0.9,29.2,,,,,,-0.2666666667,22.86666667,-22.86666667
6,-0.2,21.2,,0.3,32.1,,3.4,37.2,,,,,,1.166666667,30.16666667,-30.16666667
7,0.4,28.8,,2.1,40.6,,6.7,46.2,,,,,,3.066666667,38.53333333,-38.53333333
8,5.6,45,,5.2,49.8,,11.6,55.6,,,,,,7.466666667,50.13333333,-50.13333333
9,9.4,54.8,,10.2,59.4,,17,64.8,,,,,,12.2,59.66666667,-59.66666667
10,14.1,64.2,,15.2,68.7,,22.8,74.2,,,,,,17.36666667,69.03333333,-69.03333333
11,19.9,73.9,,21.7,78.4,,30.1,83.4,,,,,,23.9,78.56666667,-78.56666667
12,26.8,83.2,,29.1,87.8,,38.2,93.6,,,,,,31.36666667,88.2,-88.2
13,35.4,92.3,,37.1,96.8,,46.8,102.4,,,,,,39.76666667,97.16666667,-97.16666667
14,43.8,102,,45.3,105.5,,56.2,109.8,,,,,,48.43333333,105.7666667,-105.7666667
15,53.2,111.2,,55.5,113.6,,65.2,118.6,,,,,,57.96666667,114.4666667,-114.4666667
16,63.1,118.1,,66.3,121.8,,,,,,,,,64.7,119.95,-119.95
17,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
18,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
19,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
20,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
22,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
23,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
24,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
25,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
