,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,3.578947368,10.31578947,,6.666666667,6.666666667,,3,10,,,,,,4.415204678,8.994152047,-8.994152047
2,6.947368421,24.21052632,,9.714285714,14.28571429,,7.8,21.2,,,,,,8.153884712,19.89874687,-19.89874687
3,8.421052632,37.47368421,,14.47619048,24.76190476,,14.4,36.8,,,,,,12.43241437,33.01186299,-33.01186299
4,16.84210526,62.73684211,,20.76190476,33.9047619,,16.4,50.8,,,,,,18.00133668,49.14720134,-49.14720134
5,21.89473684,76.21052632,,28.57142857,51.61904762,,24.8,63,,,,,,25.0887218,63.60985798,-63.60985798
6,25.26315789,86.31578947,,35.04761905,66.66666667,,29.2,74,,,,,,29.83692565,75.66081871,-75.66081871
7,29.05263158,98.73684211,,40.95238095,80.19047619,,38.2,97,,,,,,36.06833751,91.97577277,-91.97577277
8,48.84210526,112.6315789,,47.23809524,91.42857143,,48.2,108.2,,,,,,48.09340017,104.0867168,-104.0867168
9,65.05263158,140,,57.14285714,103.8095238,,54.4,119.6,,,,,,58.86516291,121.1365079,-121.1365079
10,72.63157895,152.2105263,,70.66666667,122.2857143,,62.2,132.4,,,,,,68.4994152,135.6320802,-135.6320802
11,82.10526316,168.4210526,,78.47619048,134.0952381,,71.8,142.2,,,,,,77.46048454,148.2387636,-148.2387636
12,92.84210526,175.5789474,,89.52380952,144,,90.4,163.8,,,,,,90.9219716,161.1263158,-161.1263158
13,104.8421053,189.4736842,,98.85714286,158.8571429,,100,174.8,,,,,,101.2330827,174.3769424,-174.3769424
14,114.5263158,197.6842105,,106.6666667,168.5714286,,109.6,187.2,,,,,,110.2643275,184.485213,-184.485213
15,140,218.3157895,,127.8095238,188.5714286,,119.8,199.2,,,,,,129.2031746,202.0290727,-202.0290727
16,151.7894737,232.2105263,,141.3333333,199.2380952,,132.4,210,,,,,,141.8409357,213.8162072,-213.8162072
17,164.2105263,239.5789474,,152.5714286,210.4761905,,144.8,220,,,,,,153.8606516,223.3517126,-223.3517126
18,175.7894737,248.8421053,,166.0952381,219.4285714,,165,240.8,,,,,,168.9615706,236.3568922,-236.3568922
19,,,,174.2857143,232.7619048,,177.2,250,,,,,,175.7428571,241.3809524,-241.3809524
20,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
22,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
23,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
24,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
25,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
