,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,0,0,,1.818181818,9.636363636,,,,,,,,,0.9090909091,4.818181818,-4.818181818
2,2.545454545,2.727272727,,1.818181818,14.18181818,,,,,,,,,2.181818182,8.454545455,-8.454545455
3,1.454545455,4.727272727,,0.5454545455,16.36363636,,,,,,,,,1,10.54545455,-10.54545455
4,0.9090909091,7.272727273,,0,26.36363636,,,,,,,,,0.4545454545,16.81818182,-16.81818182
5,1.454545455,11.81818182,,0,31.81818182,,,,,,,,,0.7272727273,21.81818182,-21.81818182
6,2.181818182,18.18181818,,0.5454545455,37.27272727,,,,,,,,,1.363636364,27.72727273,-27.72727273
7,2.727272727,25.45454545,,1.272727273,44.54545455,,,,,,,,,2,35,-35
8,3.272727273,32.72727273,,3.454545455,50.90909091,,,,,,,,,3.363636364,41.81818182,-41.81818182
9,3.636363636,38.72727273,,3.636363636,58.72727273,,,,,,,,,3.636363636,48.72727273,-48.72727273
10,6,45.81818182,,9.272727273,75.81818182,,,,,,,,,7.636363636,60.81818182,-60.81818182
11,8.363636364,60,,11.45454545,84.54545455,,,,,,,,,9.909090909,72.27272727,-72.27272727
12,14.18181818,69.63636364,,16.90909091,90.90909091,,,,,,,,,15.54545455,80.27272727,-80.27272727
13,14.90909091,79.63636364,,20.90909091,100.9090909,,,,,,,,,17.90909091,90.27272727,-90.27272727
14,18.54545455,87.27272727,,26.72727273,112.3636364,,,,,,,,,22.63636364,99.81818182,-99.81818182
15,22.72727273,96.36363636,,35.81818182,130.9090909,,,,,,,,,29.27272727,113.6363636,-113.6363636
16,33.27272727,116,,41.27272727,137.8181818,,,,,,,,,37.27272727,126.9090909,-126.9090909
17,38.54545455,124.1818182,,46.36363636,145.4545455,,,,,,,,,42.45454545,134.8181818,-134.8181818
18,43.27272727,133.6363636,,52.54545455,153.6363636,,,,,,,,,47.90909091,143.6363636,-143.6363636
19,48.90909091,141.8181818,,60,162.7272727,,,,,,,,,54.45454545,152.2727273,-152.2727273
20,53.63636364,149.0909091,,71.81818182,180.9090909,,,,,,,,,62.72727273,165,-165
21,63.27272727,166,,80.36363636,189.0909091,,,,,,,,,71.81818182,177.5454545,-177.5454545
22,70.90909091,177.2727273,,87.27272727,199.0909091,,,,,,,,,79.09090909,188.1818182,-188.1818182
23,78.18181818,186.3636364,,95.45454545,210,,,,,,,,,86.81818182,198.1818182,-198.1818182
24,85.09090909,194.5454545,,106.3636364,221.8181818,,,,,,,,,95.72727273,208.1818182,-208.1818182
25,92.72727273,201.2727273,,115.2727273,231.8181818,,,,,,,,,104,216.5454545,-216.5454545
,106.1818182,216,,125.2727273,240,,,,,,,,,,,
,115.0909091,224.1818182,,132.7272727,250,,,,,,,,,,,
,121.4545455,230.3636364,,141.4545455,257.2727273,,,,,,,,,,,
,128.1818182,236,,,,,,,,,,,,,,
,137.4545455,244,,,,,,,,,,,,,,
